CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1000230,OPTICAL CABLE CORP,10-K,2023-12-20,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-23-034978.txt,https://www.sec.gov/Archives/edgar/data/1000230/0001437749-23-034978-index.html,2023-12-20,2023-10-31,3357,https://www.sec.gov/Archives/edgar/data/1000230/000143774923034978/occ20231031_10k.htm,VA,VA,1031,1000230_10K_2023_0001437749-23-034978.htm
1001115,GEOSPACE TECHNOLOGIES CORP,10-K,2023-11-17,https://www.sec.gov/Archives/edgar/data/1001115/0001437749-23-032446.txt,https://www.sec.gov/Archives/edgar/data/1001115/0001437749-23-032446-index.html,2023-11-17,2023-09-30,3829,https://www.sec.gov/Archives/edgar/data/1001115/000143774923032446/geos20230930_10k.htm,TX,TX,0930,1001115_10K_2023_0001437749-23-032446.htm
1002590,"STAR GROUP, L.P.",10-K,2023-12-06,https://www.sec.gov/Archives/edgar/data/1002590/0000950170-23-068567.txt,https://www.sec.gov/Archives/edgar/data/1002590/0000950170-23-068567-index.html,2023-12-06,2023-09-30,5990,https://www.sec.gov/Archives/edgar/data/1002590/000095017023068567/sgu-20230930.htm,DE,CT,0930,1002590_10K_2023_0000950170-23-068567.htm
1003078,MSC INDUSTRIAL DIRECT CO INC,10-K,2023-10-25,https://www.sec.gov/Archives/edgar/data/1003078/0001003078-23-000102.txt,https://www.sec.gov/Archives/edgar/data/1003078/0001003078-23-000102-index.html,2023-10-25,2023-09-02,5084,https://www.sec.gov/Archives/edgar/data/1003078/000100307823000102/msm-20230902.htm,NY,NY,0902,1003078_10K_2023_0001003078-23-000102.htm
10048,BARNWELL INDUSTRIES INC,10-K,2023-12-18,https://www.sec.gov/Archives/edgar/data/10048/0000010048-23-000022.txt,https://www.sec.gov/Archives/edgar/data/10048/0000010048-23-000022-index.html,2023-12-18,2023-09-30,1311,https://www.sec.gov/Archives/edgar/data/10048/000001004823000022/brn-20230930.htm,DE,HI,0930,10048_10K_2023_0000010048-23-000022.htm
100493,"TYSON FOODS, INC.",10-K,2023-11-13,https://www.sec.gov/Archives/edgar/data/100493/0000100493-23-000105.txt,https://www.sec.gov/Archives/edgar/data/100493/0000100493-23-000105-index.html,2023-11-13,2023-09-30,2015,https://www.sec.gov/Archives/edgar/data/100493/000010049323000105/tsn-20230930.htm,DE,AR,0930,100493_10K_2023_0000100493-23-000105.htm
1005210,SUBURBAN PROPANE PARTNERS LP,10-K,2023-11-22,https://www.sec.gov/Archives/edgar/data/1005210/0000950170-23-065770.txt,https://www.sec.gov/Archives/edgar/data/1005210/0000950170-23-065770-index.html,2023-11-22,2023-09-30,5900,https://www.sec.gov/Archives/edgar/data/1005210/000095017023065770/sph-20230930.htm,DE,NJ,0930,1005210_10K_2023_0000950170-23-065770.htm
1005731,IDT CORP,10-K,2023-10-16,https://www.sec.gov/Archives/edgar/data/1005731/0001493152-23-037384.txt,https://www.sec.gov/Archives/edgar/data/1005731/0001493152-23-037384-index.html,2023-10-16,2023-07-31,4813,https://www.sec.gov/Archives/edgar/data/1005731/000149315223037384/form10-k.htm,DE,NJ,0731,1005731_10K_2023_0001493152-23-037384.htm
1006028,"PURE BIOSCIENCE, INC.",10-K,2023-10-30,https://www.sec.gov/Archives/edgar/data/1006028/0001493152-23-038673.txt,https://www.sec.gov/Archives/edgar/data/1006028/0001493152-23-038673-index.html,2023-10-30,2023-07-31,2890,https://www.sec.gov/Archives/edgar/data/1006028/000149315223038673/form10-k.htm,DE,CA,0731,1006028_10K_2023_0001493152-23-038673.htm
1008653,"Ecomax, Inc",10-K,2023-10-13,https://www.sec.gov/Archives/edgar/data/1008653/0001493152-23-037116.txt,https://www.sec.gov/Archives/edgar/data/1008653/0001493152-23-037116-index.html,2023-10-13,2023-06-30,7200,https://www.sec.gov/Archives/edgar/data/1008653/000149315223037116/form10-k.htm,NV,NY,0630,1008653_10K_2023_0001493152-23-037116.htm
1008654,TUPPERWARE BRANDS CORP,10-K,2023-10-13,https://www.sec.gov/Archives/edgar/data/1008654/0001008654-23-000079.txt,https://www.sec.gov/Archives/edgar/data/1008654/0001008654-23-000079-index.html,2023-10-13,2022-12-31,3089,https://www.sec.gov/Archives/edgar/data/1008654/000100865423000079/tup-20221231.htm,DE,FL,1231,1008654_10K_2022_0001008654-23-000079.htm
1013237,FACTSET RESEARCH SYSTEMS INC,10-K,2023-10-27,https://www.sec.gov/Archives/edgar/data/1013237/0001013237-23-000128.txt,https://www.sec.gov/Archives/edgar/data/1013237/0001013237-23-000128-index.html,2023-10-27,2023-08-31,7370,https://www.sec.gov/Archives/edgar/data/1013237/000101323723000128/fds-20230831.htm,DE,CT,0831,1013237_10K_2023_0001013237-23-000128.htm
